Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:05:31:114955224,00:05:31:115099014,143790
00:05:31:115099161,00:05:31:115255216,156055
00:05:31:115255378,00:05:31:115411565,156187
00:05:31:115411775,00:05:31:115567391,155616
00:05:31:115567549,00:05:31:115726167,158618
00:05:31:115726480,00:05:31:115879608,153128
00:05:31:115879841,00:05:31:116035483,155642
00:05:31:116035783,00:05:31:116192209,156426
00:05:31:116192433,00:05:31:116346834,154401
00:05:31:116347040,00:05:31:116502806,155766
00:05:31:116503060,00:05:31:116660702,157642
00:05:31:116660969,00:05:31:116853596,192627
00:05:31:116854392,00:05:31:117040666,186274
00:05:31:117041126,00:05:31:117235654,194528
00:05:31:117236110,00:05:31:117417248,181138
00:05:31:117417495,00:05:31:117572465,154970
00:05:31:117572661,00:05:31:117727945,155284
00:05:31:117728145,00:05:31:117897796,169651
00:05:31:117898051,00:05:31:118050013,151962
00:05:31:118050212,00:05:31:118206955,156743
00:05:31:118207210,00:05:31:118361911,154701
00:05:31:118362161,00:05:31:118517455,155294
00:05:31:118517690,00:05:31:118674211,156521
00:05:31:118674477,00:05:31:118829463,154986
00:05:31:118829876,00:05:31:118986140,156264
00:05:31:118986331,00:05:31:119142518,156187
00:05:31:119143062,00:05:31:119297381,154319
00:05:31:119297917,00:05:31:119453707,155790
00:05:31:119453924,00:05:31:119610078,156154
00:05:31:119610241,00:05:31:119767362,157121
00:05:31:119767620,00:05:31:119925610,157990
00:05:31:119925918,00:05:31:120119287,193369
00:05:31:120119788,00:05:31:120273260,153472
00:05:31:120273486,00:05:31:120426989,153503
00:05:31:120427163,00:05:31:120570795,143632
00:05:31:120570991,00:05:31:120714684,143693
00:05:31:120714867,00:05:31:120870320,155453
00:05:31:120870487,00:05:31:121055521,185034
00:05:31:121055981,00:05:31:121208174,152193
00:05:31:121208392,00:05:31:121364712,156320
00:05:31:121364895,00:05:31:121520285,155390
00:05:31:121520468,00:05:31:121678675,158207
00:05:31:121678857,00:05:31:121835650,156793
00:05:31:121835835,00:05:31:121990237,154402
00:05:31:121990437,00:05:31:122157865,167428
00:05:31:122158065,00:05:31:122313112,155047
00:05:31:122313300,00:05:31:122469555,156255
00:05:31:122469739,00:05:31:122626902,157163
00:05:31:122627085,00:05:31:122782573,155488
00:05:31:122782755,00:05:31:122936997,154242
00:05:31:122937183,00:05:31:123097407,160224
00:05:31:123097976,00:05:31:123250912,152936
00:05:31:123251137,00:05:31:123408091,156954
00:05:31:123408287,00:05:31:123561756,153469
