Start - HH:MM:SS:NANOSECONDS,     End - HH:MM:SS:NANOSECONDS,     Difference in NANOSECONDS
23:47:24:056501913,     23:47:24:056673484,     171571
23:47:24:056673619,     23:47:24:056835096,     161477
23:47:24:056835276,     23:47:24:057006358,     171082
23:47:24:057006527,     23:47:24:057176786,     170259
23:47:24:057176963,     23:47:24:057338839,     161876
23:47:24:057339021,     23:47:24:057500908,     161887
23:47:24:057501095,     23:47:24:057663182,     162087
23:47:24:057663366,     23:47:24:057833531,     170165
23:47:24:057833688,     23:47:24:058004772,     171084
23:47:24:058004922,     23:47:24:058175487,     170565
23:47:24:058175637,     23:47:24:058346824,     171187
23:47:24:058346975,     23:47:24:058517488,     170513
23:47:24:058517662,     23:47:24:058682320,     164658
23:47:24:058682544,     23:47:24:058860042,     177498
23:47:24:058860181,     23:47:24:059031359,     171178
23:47:24:059031476,     23:47:24:059201738,     170262
23:47:24:059201865,     23:47:24:059372758,     170893
23:47:24:059372876,     23:47:24:059534877,     162001
23:47:24:059534991,     23:47:24:059695820,     160829
23:47:24:059695931,     23:47:24:059849420,     153489
